"QUEST";"ID_DOMICILIO";"AREA";"RENDA_FAMILIAR";"TV";"RADIO";"BANHEIRO";"AUTOMOVEL";"EMPREGADA";"LAVA_ROUPA";"GELADEIRA";"FREEZER";"LAVA_LOUCA";"DVD";"MICRO_ONDAS";"MOTOCICLETA";"SECADORA";"TELEFONE_FIXO";"VIDEOGAME";"TV_ASSINATURA";"ANTENA_PARABOLICA";"AGUA";"RUA";"GRAU_INSTRUCAO";"PNADC_RD_A";"PNADC_RD_B";"PNADC_RD_C";"A1_A";"A1_B";"A1_C";"A2_QTD_DESK";"A2_QTD_NOTE";"A2_QTD_TAB";"A4";"A5_A";"A5_B";"A5_C";"A5_D";"A5_E";"A5_F";"A5_G";"A5_H";"A5_I";"A5_OUTRO";"A5A";"A7";"A7A";"A7B";"A8";"A9";"COD_REGIAO_2";"RENDA_FAMILIAR_2";"CLASSE_2015";"A1_AGREG";"DIC_CEL";"A1_EXCLUSIVOS";"A2_A_FAIXA";"A2_B_FAIXA";"A2_C_FAIXA";"A1A4";"A7_AGREG";"A5_NENHUM";"A9_FAIXA";"PESO";"rep1";"rep2";"rep3";"rep4";"rep5";"rep6";"rep7";"rep8";"rep9";"rep10";"rep11";"rep12";"rep13";"rep14";"rep15";"rep16";"rep17";"rep18";"rep19";"rep20";"rep21";"rep22";"rep23";"rep24";"rep25";"rep26";"rep27";"rep28";"rep29";"rep30";"rep31";"rep32";"rep33";"rep34";"rep35";"rep36";"rep37";"rep38";"rep39";"rep40";"rep41";"rep42";"rep43";"rep44";"rep45";"rep46";"rep47";"rep48";"rep49";"rep50";"rep51";"rep52";"rep53";"rep54";"rep55";"rep56";"rep57";"rep58";"rep59";"rep60";"rep61";"rep62";"rep63";"rep64";"rep65";"rep66";"rep67";"rep68";"rep69";"rep70";"rep71";"rep72";"rep73";"rep74";"rep75";"rep76";"rep77";"rep78";"rep79";"rep80";"rep81";"rep82";"rep83";"rep84";"rep85";"rep86";"rep87";"rep88";"rep89";"rep90";"rep91";"rep92";"rep93";"rep94";"rep95";"rep96";"rep97";"rep98";"rep99";"rep100";"rep101";"rep102";"rep103";"rep104";"rep105";"rep106";"rep107";"rep108";"rep109";"rep110";"rep111";"rep112";"rep113";"rep114";"rep115";"rep116";"rep117";"rep118";"rep119";"rep120";"rep121";"rep122";"rep123";"rep124";"rep125";"rep126";"rep127";"rep128";"rep129";"rep130";"rep131";"rep132";"rep133";"rep134";"rep135";"rep136";"rep137";"rep138";"rep139";"rep140";"rep141";"rep142";"rep143";"rep144";"rep145";"rep146";"rep147";"rep148";"rep149";"rep150";"rep151";"rep152";"rep153";"rep154";"rep155";"rep156";"rep157";"rep158";"rep159";"rep160";"rep161";"rep162";"rep163";"rep164";"rep165";"rep166";"rep167";"rep168";"rep169";"rep170";"rep171";"rep172";"rep173";"rep174";"rep175";"rep176";"rep177";"rep178";"rep179";"rep180";"rep181";"rep182";"rep183";"rep184";"rep185";"rep186";"rep187";"rep188";"rep189";"rep190";"rep191";"rep192";"rep193";"rep194";"rep195";"rep196";"rep197";"rep198";"rep199";"rep200"
185535831;12;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;2;4;0;0;0;0;0;0;999999999;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;10;10;4;1;3;0;1;99;0;0;0;3;1;99;8;367,80898363566;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185535830;14;1;2;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;2;2;3;0;0;0;0;0;0;999999999;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;97;8;4;2;4;0;1;99;0;0;0;3;1;99;6;602,051569198691;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185462410;17;1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;2;5;0;0;0;0;1;0;999999999;1;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;97;10;4;1;3;1;1;2;0;1;0;1;1;99;8;890,108423851942;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185474873;18;1;3;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2;1;3;1;1;0;0;0;0;999999999;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;97;9;4;3;4;0;1;99;0;0;0;3;1;99;7;531,833625699838;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185448082;19;1;1;1;0;1;0;0;1;1;0;0;0;0;2;0;0;0;0;1;1;2;2;0;1;1;0;0;0;999999999;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;1;10;4;1;4;0;1;99;0;0;0;3;1;99;8;620,85484412119;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185578044;20;1;1;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;999999999;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;7;9;4;1;3;0;1;99;0;0;0;3;1;99;7;300,635440342949;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185464428;21;1;2;1;1;2;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;2;0;1;0;0;0;0;999999999;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;6;0;0;99;9;4;2;3;0;1;99;0;0;0;3;99;99;7;442,290441065129;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185478246;22;1;4;1;0;1;1;0;1;1;0;0;0;1;2;0;0;1;0;1;2;1;5;0;0;0;0;1;0;999999999;2;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;1;7;9;4;4;3;1;1;2;0;2;0;1;1;99;7;1249,46884542816;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185489862;23;1;2;2;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;1;2;1;3;0;0;0;0;1;0;999999999;2;999999999;1;99;99;99;99;99;99;99;99;99;99;99;3;1;0;2;11;4;2;3;1;1;2;0;2;0;1;1;99;9;620,85484412119;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
185448083;24;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;999999999;999999999;1;99;99;99;99;99;99;99;99;99;99;99;97;0;1;99;10;4;1;3;1;1;1;1;0;0;1;99;99;8;300,635440342949;1;4;2;0;2;1;0;1;0;0;1;0;4;2;0;2;0;3;0;0;2;2;4;2;0;0;0;0;1;0;0;2;1;0;3;0;0;1;0;0;1;0;1;1;2;1;2;2;1;0;1;1;1;1;1;0;2;2;1;1;1;2;0;1;0;1;1;1;2;0;1;1;1;1;1;1;0;1;0;1;0;2;1;1;0;0;3;0;1;1;2;0;1;1;0;0;1;1;0;1;2;1;2;0;2;0;2;4;1;1;0;0;1;0;0;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;0;0;1;1;0;2;2;2;1;3;1;4;0;0;2;0;0;1;0;0;2;1;0;0;2;0;2;2;2;1;1;1;1;1;2;2;1;4;2;0;2;0;1;4;0;1;1;4;0;0;0;1;2;0;1;1;1;1;1;1;2;0;2;1;1;0;2;1;2
